"TIME","CH1","CH2","CH3","CH4","MATH"
-9.248e-04,0.172,-0.01,-0.214,-0.08,1
-9.246e-04,0.167,-0.008,-0.21,-0.06,1
-9.244e-04,0.173,-0.012,-0.21,-0.08,1
-9.242e-04,0.171,-0.014,-0.208,-0.08,1
-9.240e-04,0.173,-0.018,-0.212,-0.084,1
-9.238e-04,0.17,-0.008,-0.214,-0.084,1
-9.236e-04,0.17,-0.006,-0.212,-0.08,1
-9.234e-04,0.172,-0.004,-0.216,-0.092,1
-9.232e-04,0.17,-0.018,-0.22,-0.084,1
-9.230e-04,0.169,-0.002,-0.21,-0.084,1
-9.228e-04,0.169,-0.002,-0.208,-0.096,1
-9.226e-04,0.169,-0.01,-0.216,-0.08,1
-9.224e-04,0.168,-0.008,-0.22,-0.084,1
-9.222e-04,0.166,-0.008,-0.21,-0.08,1
-9.220e-04,0.168,-0.01,-0.218,-0.072,1
-9.218e-04,0.169,-0.006,-0.212,-0.08,1
-9.216e-04,0.169,-0.008,-0.21,-0.088,1
-9.214e-04,0.169,-0.01,-0.208,-0.084,1
-9.212e-04,0.167,-0.008,-0.214,-0.092,1
-9.210e-04,0.17,-0.01,-0.216,-0.084,1
-9.208e-04,0.169,-0.012,-0.214,-0.088,1
-9.206e-04,0.172,-0.01,-0.214,-0.08,1
-9.204e-04,0.171,-0.004,-0.22,-0.076,1
-9.202e-04,0.173,-0.018,-0.214,-0.08,1
-9.200e-04,0.17,-0.01,-0.212,-0.092,1
-9.198e-04,0.174,-0.016,-0.214,-0.084,1
-9.196e-04,0.171,-0.012,-0.22,-0.076,1
-9.194e-04,0.168,-0.01,-0.212,-0.076,1
-9.192e-04,0.171,-0.006,-0.212,-0.084,1
-9.190e-04,0.171,-0.008,-0.212,-0.076,1
-9.188e-04,0.17,-0.006,-0.212,-0.092,1
-9.186e-04,0.169,-0.016,-0.222,-0.084,1
-9.184e-04,0.167,-0.008,-0.216,-0.088,1
-9.182e-04,0.173,-0.02,-0.22,-0.08,1
-9.180e-04,0.169,-0.01,-0.216,-0.076,1
-9.178e-04,0.171,-0.014,-0.218,-0.072,1
-9.176e-04,0.171,-0.008,-0.21,-0.08,1
-9.174e-04,0.169,-0.014,-0.214,-0.088,1
-9.172e-04,0.172,-0.012,-0.214,-0.08,1
-9.170e-04,0.169,0,-0.218,-0.076,1
-9.168e-04,0.171,-0.008,-0.214,-0.088,1
-9.166e-04,0.17,-0.014,-0.22,-0.088,1
-9.164e-04,0.168,-0.01,-0.214,-0.08,1
-9.162e-04,0.167,-0.008,-0.22,-0.072,1
-9.160e-04,0.165,-0.014,-0.214,-0.08,1
-9.158e-04,0.167,-0.016,-0.212,-0.068,1
-9.156e-04,0.168,-0.012,-0.218,-0.08,1
-9.154e-04,0.172,-0.008,-0.212,-0.08,1
-9.152e-04,0.169,-0.016,-0.212,-0.08,1
-9.150e-04,0.173,-0.014,-0.216,-0.076,1
-9.148e-04,0.17,-0.006,-0.218,-0.072,1
-9.146e-04,0.17,-0.008,-0.212,-0.08,1
-9.144e-04,0.17,-0.024,-0.212,-0.076,1
-9.142e-04,0.174,-0.008,-0.216,-0.072,1
-9.140e-04,0.171,-0.01,-0.216,-0.076,1
-9.138e-04,0.172,-0.01,-0.222,-0.08,1
-9.136e-04,0.17,-0.014,-0.204,-0.068,1
-9.134e-04,0.171,-0.012,-0.226,-0.076,1
-9.132e-04,0.17,-0.01,-0.22,-0.08,1
-9.130e-04,0.167,-0.018,-0.222,-0.088,1
-9.128e-04,0.171,-0.01,-0.218,-0.068,1
-9.126e-04,0.172,-0.008,-0.214,-0.06,1
-9.124e-04,0.168,-0.014,-0.214,-0.088,1
-9.122e-04,0.171,-0.012,-0.21,-0.076,1
