"TIME","CH1","CH2","CH3","CH4","MATH"
-1.8360e-04,0.226,0.002,0.232,-0.052,1
-1.8356e-04,0.223,0.004,0.242,-0.044,1
-1.8352e-04,0.221,0.002,0.232,-0.04,1
-1.8348e-04,0.225,0.002,0.232,-0.052,1
-1.8344e-04,0.222,-0.002,0.23,-0.056,1
-1.8340e-04,0.223,-0.008,0.23,-0.048,1
-1.8336e-04,0.222,0,0.23,-0.048,1
-1.8332e-04,0.223,0.01,0.234,-0.048,1
-1.8328e-04,0.224,0.004,0.228,-0.044,1
-1.8324e-04,0.228,-0.006,0.234,-0.056,1
-1.8320e-04,0.224,0.006,0.232,-0.052,1
-1.8316e-04,0.223,0,0.228,-0.052,1
-1.8312e-04,0.222,0.002,0.228,-0.052,1
-1.8308e-04,0.227,0.004,0.228,-0.036,1
-1.8304e-04,0.221,-0.002,0.23,-0.056,1
-1.8300e-04,0.226,0.006,0.232,-0.048,1
-1.8296e-04,0.224,-0.004,0.228,-0.056,1
-1.8292e-04,0.224,0.004,0.238,-0.052,1
-1.8288e-04,0.221,0,0.234,-0.052,1
-1.8284e-04,0.224,-0.004,0.232,-0.052,1
-1.8280e-04,0.221,-0.002,0.23,-0.056,1
-1.8276e-04,0.224,-0.004,0.23,-0.064,1
-1.8272e-04,0.224,-0.006,0.224,-0.06,1
-1.8268e-04,0.224,0.004,0.234,-0.052,1
-1.8264e-04,0.224,0.006,0.23,-0.06,1
-1.8260e-04,0.22,0,0.228,-0.044,1
-1.8256e-04,0.222,0.006,0.232,-0.052,1
-1.8252e-04,0.225,0.004,0.228,-0.048,1
-1.8248e-04,0.222,0.006,0.23,-0.048,1
-1.8244e-04,0.224,0.004,0.23,-0.052,1
-1.8240e-04,0.221,0.004,0.232,-0.052,1
-1.8236e-04,0.223,0.002,0.228,-0.056,1
-1.8232e-04,0.224,0.002,0.23,-0.06,1
-1.8228e-04,0.225,0.006,0.234,-0.056,1
-1.8224e-04,0.226,0.002,0.232,-0.04,1
-1.8220e-04,0.223,0,0.228,-0.048,1
-1.8216e-04,0.223,0,0.232,-0.044,1
-1.8212e-04,0.22,-0.004,0.232,-0.052,1
-1.8208e-04,0.223,0.002,0.228,-0.044,1
-1.8204e-04,0.225,-0.002,0.236,-0.052,1
-1.8200e-04,0.224,-0.004,0.232,-0.052,1
-1.8196e-04,0.225,0.006,0.234,-0.04,1
-1.8192e-04,0.222,0.002,0.23,-0.048,1
-1.8188e-04,0.223,0.004,0.234,-0.06,1
-1.8184e-04,0.221,0.004,0.226,-0.044,1
-1.8180e-04,0.221,0.002,0.23,-0.04,1
-1.8176e-04,0.224,0.004,0.226,-0.06,1
-1.8172e-04,0.224,0,0.232,-0.052,1
-1.8168e-04,0.222,-0.002,0.234,-0.06,1
-1.8164e-04,0.219,0.002,0.228,-0.04,1
-1.8160e-04,0.221,0.002,0.234,-0.06,1
-1.8156e-04,0.223,0,0.234,-0.056,1
-1.8152e-04,0.225,0,0.228,-0.044,1
-1.8148e-04,0.22,0.008,0.226,-0.04,1
-1.8144e-04,0.226,0.002,0.23,-0.044,1
-1.8140e-04,0.224,0.002,0.232,-0.044,1
-1.8136e-04,0.224,-0.002,0.228,-0.044,1
-1.8132e-04,0.223,0.002,0.236,-0.052,1
-1.8128e-04,0.223,0,0.23,-0.052,1
-1.8124e-04,0.222,0,0.228,-0.052,1
-1.8120e-04,0.225,0,0.228,-0.064,1
-1.8116e-04,0.222,0.002,0.226,-0.052,1
-1.8112e-04,0.223,0.008,0.236,-0.056,1
-1.8108e-04,0.224,0.006,0.228,-0.052,1
-1.8104e-04,0.222,0.004,0.234,-0.052,1
-1.8100e-04,0.223,0.002,0.232,-0.044,1
-1.8096e-04,0.225,0.006,0.236,-0.048,1
-1.8092e-04,0.22,-0.004,0.23,-0.052,1
-1.8088e-04,0.224,-0.002,0.226,-0.048,1
-1.8084e-04,0.223,0.004,0.23,-0.052,1
-1.8080e-04,0.223,0.004,0.238,-0.032,1
-1.8076e-04,0.223,-0.004,0.23,-0.052,1
-1.8072e-04,0.224,0.002,0.222,-0.044,1
-1.8068e-04,0.222,0.004,0.236,-0.048,1
-1.8064e-04,0.221,0.002,0.232,-0.04,1
-1.8060e-04,0.222,0.002,0.238,-0.044,1
-1.8056e-04,0.223,-0.004,0.226,-0.044,1
-1.8052e-04,0.223,-0.002,0.228,-0.048,1
-1.8048e-04,0.223,-0.002,0.228,-0.044,1
-1.8044e-04,0.222,0.004,0.234,-0.04,1
-1.8040e-04,0.223,0.002,0.232,-0.048,1
-1.8036e-04,0.222,0.002,0.23,-0.044,1
-1.8032e-04,0.222,-0.002,0.226,-0.04,1
-1.8028e-04,0.226,0.008,0.228,-0.048,1
-1.8024e-04,0.225,-0.002,0.238,-0.052,1
-1.8020e-04,0.223,0.006,0.238,-0.06,1
-1.8016e-04,0.223,0.002,0.228,-0.048,1
